id,element,text_or_claim,evidence_section,evidence_detail,conclusion_section,limitation_section,verdict,note
C1,thesis_clause,"Increasing MAC capacity does not yield proportional performance gains: scaling is workload-dependent and can become non-monotonic",4.1 / 6.1,"53 adjacent transitions: 28 STRONG, 23 PARTIAL, 2 WEAK_OR_SATURATED, 3 NOT_AVAILABLE; saturation observed once (SSE-320/U85/rnnoise@512); one non-monotonic transition",7,"4.1 Not-established note; 8.14",SUPPORTED,"existence + distributional claim, both discharged; no causality, no cross-generation absolute"
C2,thesis_clause,"shaped by heterogeneous operation-level and memory/compiler interactions rather than any single structural change",6.3 / 6.4 / 6.6,"ten regressing groups +1000..+4030, largest ~1/5 of delta; 27/29 groups direction-consistent, zero flips; ublock ~95% background in every direction class",6.6 / 7,8.8 / 8.9 / 8.11,TOO_BROAD,"pronoun scopes to scaling in general; evidence is one workload, one MAC transition, one generation"
C3,thesis_clause,"structural conclusions transfer across tested platform and timing conditions far better than raw or thresholded labels do",4.6 / 5,"ranking 2/2 and 8/8; direction 7/7 and 32/32; saturation 7/7 and 20/20; normalized ordering 2/2 and 8/8; scaling class 24/32 CLASS B; board rho=1.0 0 inversions",7,8.13,TOO_BROAD,"'far better' is an unpreregistered intensifier; raw cycles were refused a priori as NOT_COMPARABLE, never evaluated for transfer"
ABS-01,abstract_claim,133-cell capability universe,3.1 / 4.4,all 133 compiled; 6 could not run,4.4,8.14,SUPPORTED,
ABS-02,abstract_claim,"74 executable, timing-adapter-enabled cells; 222 samples",4,"74 executable TA-ON cells, 222 samples, M1==M2==M3 on 74/74 across 19 fields",4,8.6,SUPPORTED,
ABS-03,abstract_claim,byte-reproducible provenance chain,3.6,model SHA -> Vela SHA -> model-source SHA -> ELF SHA; SOURCE_DATE_EPOCH pinned,3.6,,SUPPORTED,
ABS-04,abstract_claim,board validation 21 samples,5,7 workloads x 3 fresh boots = 21 formal samples,5,8.7,SUPPORTED,
ABS-05,abstract_claim,"53 adjacent transitions; 28 >=75%; 23 in 50-75%",4.1,class table,4.1,4.1 Not-established note,SUPPORTED,
ABS-06,abstract_claim,saturation in only one of 21 ladders,4.1,"NONE_OBSERVED 19/21, observed once, NOT_AVAILABLE once",4.1,8.14,SUPPORTED,
ABS-07,abstract_claim,U85 256->512 makes rnnoise slower; +19000 cycles,6.1 / 6.4,"36,086 -> 55,086 cycles",6.6,8.8,SUPPORTED,
ABS-08,abstract_claim,reversal distributed over ten operation groups,6.3,ten regressing groups +1000..+4030 and one improving group -1000,6.6,8.8,SUPPORTED,
ABS-09,abstract_claim,same groups regress under every memory configuration tested,6.4,"27/29 groups direction-consistent, zero direction flips (rnnoise, 12 profiled cells)",6.6,8.9,SUPPORTED,"faithful to 6.4's own bold heading; underlying figure is 27/29 not 29/29"
ABS-10,abstract_claim,ublock change accompanies ~95% of operations in every direction class,6.3,"41/43 regressing, 63/65 improving, 14/16 unchanged",6.6,8.11,SUPPORTED,
ABS-11,abstract_claim,Vela matches saturation classification and speedup ordering in 19 of 20 ladders,4.2,"19/20 and 19/20 (Spearman rho == 1.0); per-step 4/4 down to 0/1",7,4.2 Not-established note,SUPPORTED,
ABS-12,abstract_claim,"ranking, direction, saturation, normalized ordering preserved; threshold classes more sensitive",4.6,X1/X3 agreement table; 8 disagreements all PARTIAL(TA_ON)->STRONG(TA_OFF),7,8.13,SUPPORTED,
ABS-13,abstract_claim,on hardware workload ordering preserved exactly at the one measurable configuration,5,"Spearman rho = 1.0, 0 rank inversions across 7 workloads",5,8.7,SUPPORTED,
ABS-14,abstract_framing,"'Four findings follow' gives platform sensitivity co-equal headline weight",1,section 1 places platform sensitivity at supporting contribution 5,1,,NEEDS_TEXT_FIX,"F8; also merges X1/X3 and board results into one 'finding'"
ABS-15,abstract_scope,"closing paragraph refuses absolute cross-generation / cross-simulator / sim-vs-hw comparison and single-factor attribution",3.3 / 8.2 / 8.11,refusal scope travels with the abstract,,,SUPPORTED,abstract is readable without the limitations section
