id,manuscript_location,claim,results_section,frozen_source,frozen_tag,verification,how_verified,note
C01,abstract,133-cell capability universe; 74 executable TA-ON cells; 222 samples,3.1 / 4,analysis/executability.csv; analysis/canonical_cells.csv,paper-fvp-analysis-results-frozen,RE-DERIVED,"133 rows, 127 EXECUTABLE, 6 NOT_EXECUTABLE_MEMORY; TA_ON universe 77, of which 74 executable = canonical cell count; 74x3=222",
C02,4.1,53 adjacent MAC transitions across 21 preregistered ladders,4.1,analysis/scaling.csv,paper-fvp-analysis-results-frozen,RE-DERIVED,"21 distinct (platform,npu,workload) ladders; adjacent EXECUTABLE transitions sum to 53",
C03,4.1 / abstract,"28 STRONG, 23 PARTIAL, 2 WEAK_OR_SATURATED, 3 NOT_AVAILABLE",4.1,analysis/scaling.csv,paper-fvp-analysis-results-frozen,VERIFIED,table rows present and consistent with the 53 total,
C04,4.1 / abstract,saturation NONE_OBSERVED in 19 of 21; observed once at SSE-320/U85/rnnoise@512,4.1,analysis/saturation.csv,paper-fvp-analysis-results-frozen,RE-DERIVED,"19 NONE_OBSERVED; exactly one observed row, cell matches",
C05,4.2 / abstract / 8,Vela saturation classification 19/20 and speedup ordering 19/20,4.2,analysis/vela_fvp_trend_agreement.csv,paper-fvp-analysis-results-frozen,RE-DERIVED,20 ladders; 19 saturation_agrees True; 19 speedup_rank_rho == 1.0,
C06,4.3,"workload ranking rho==1.0 in 31/55 pairs, min 0.9429, median 1.0000",4.3,analysis/ranking_preservation.csv,paper-fvp-analysis-results-frozen,VERIFIED,quoted unchanged from the frozen narrative,
C07,4.4 / 8 / 10,"133 compiled, 6 could not run, all wav2letter x U55 x Shared_Sram",4.4,analysis/executability.csv,paper-fvp-analysis-results-frozen,RE-DERIVED,the 6 non-executable rows share workload/npu/memory_mode exactly,
C08,5,"92 cells, 276 samples, 39/39 artifacts reproduced frozen hashes",5,platform_sensitivity/X1_STRUCTURAL_RESULTS.json,paper-platform-sensitivity-x1-results-frozen,VERIFIED,,
C09,5 / abstract,ranking 2/2 and 8/8; direction 7/7 and 32/32; saturation 7/7 and 20/20; class 7/7 and 24/32,5,platform_sensitivity/X3_METRIC_QUALIFICATION.csv,paper-platform-sensitivity-x3-results-frozen,RE-DERIVED,each pair matched against agreement/tested_universe in the frozen CSV,
C10,5,"eight CLASS B scaling-class disagreements, all PARTIAL(TA_ON) -> STRONG(TA_OFF)",5,platform_sensitivity/X3_METRIC_QUALIFICATION.csv,paper-platform-sensitivity-x3-results-frozen,RE-DERIVED,disagreement field = 8; direction of every disagreement listed in the frozen cell list,
C11,5,CLASS A: 14/14 cells with exactly identical canonical NPU cycles,5,platform_sensitivity/X1_EVIDENCE_FROZEN.md,paper-platform-sensitivity-x1-evidence-frozen,VERIFIED,stated narrowly as NO_OBSERVED_CYCLE_DIFFERENCE_UNDER_TESTED_TA_OFF_PAIR; transfer to TA_ON NOT_EVALUABLE,
C12,6 / abstract,"board rho = 1.0, 0 rank inversions, 21 formal samples",6 / A.1,analysis/board_rq3/ranking_preservation.json,paper-board-rq3-analysis-results-frozen,RE-DERIVED,7 workloads x 3 boots,
C13,A.2 / Figure 4,"normalized relative cost, 14 values to 4 decimal places",A.2,analysis/board_rq3/normalized_relative_cost.csv,paper-board-rq3-analysis-results-frozen,RE-DERIVED,all 14 values matched to 4dp against the frozen CSV,
C14,7.1 / abstract,"rnnoise 36,086 -> 55,086 cycles (+19,000) at U85 256->512",7.1,mechanism/U85_FORMAL_MATRIX.csv,paper-u85-mechanism-derived-frozen,VERIFIED,"group decomposition sums to +19,060; the whole-model figure is quoted as +19,000 in prose and +19,060 where the decomposition is given",
C15,7.3 / Figure 2,"ten regressing groups, one improving, three unchanged; 14-group partition",7.3,mechanism/U85_GROUP_DIFFERENTIAL.csv,paper-u85-mechanism-derived-frozen,RE-DERIVED,"14 rows for rnnoise B-frozen; directions 10/1/3; deltas sum 19,060",
C16,7.3 / abstract,"UBLOCK_CHANGED accompanies ~95% of operations in every direction class (41/43, 63/65, 14/16)",7.3,mechanism/U85_256_512_DIFFERENTIAL.csv,paper-u85-mechanism-derived-frozen,VERIFIED,,
C17,7.4 / Figure 3,"cross-memory whole-model deltas +3,000 / +15,000 / +19,000",7.4,mechanism/U85_P1B_CROSSMODE_GROUPS.csv,paper-u85-p1b-frozen,RE-DERIVED,"frozen group sums are 3,015 / 15,075 / 19,060; prose rounds to the nearest thousand",
C18,7.4,"27 of 29 groups direction-consistent across all three modes, zero direction flips",7.4,mechanism/U85_P1B_CROSSMODE_GROUPS.csv,paper-u85-p1b-frozen,RE-DERIVED,29 groups; 27 with a single direction across SO/SH/DS; no group holds both REGRESS and IMPROVE,
C19,7.5 / 9.3,U65 bridge overall NOT_EQUIVALENT with five component equivalences established,7.5,mechanism/U65_BRIDGE_RUNTIME_EQUIVALENCE.csv,paper-u65-bridge-verdict-frozen,VERIFIED,all six component verdict labels present in the manuscript,
C20,3.2,seven workloads span 468x in Vela-estimated cycles,3.2,evidence/vela-matrix-20260824/vela_matrix.csv,paper-fvp-analysis-results-frozen,CORRECTED,"previously stated 467x, traceable only to the pre-sweep MAIN_EXPERIMENT_MATRIX.md whose per-model values do not appear in the frozen matrix; recomputed as max/min of frozen vela_cycles_total at SSE-320/ethos-u85-256/Dedicated_Sram, the only configuration where all seven workloads are present. Descriptive, not load-bearing",numerical discrepancy resolved in Phase 2
C21,3.1,11 of 19 configurations benchmarking-valid; 56 TA-OFF cells diagnostic only,3.1,analysis/executability.csv,paper-fvp-analysis-results-frozen,RE-DERIVED,TA_OFF_DIAGNOSTIC universe = 56,
C22,2 / references,U55 MAC range 32-256; U65 256 or 512,2,Arm TRM 102420_0200_02_en; 102023_0000_06_en,primary source,VERIFIED,macs_per_cc encoding read from the documents themselves in Phase 1.5; PMU event names deliberately NOT attributed to these manuals,
